ShortName,Version,Directory,File,Folder
R and R Studio 4.3.2,,C:\Program Files\Rstudio,C:\Program Files\Rstudio\rstudio.exe,Programming
Visual Studio Community,2022,C:\Program Files\Microsoft Visual Studio\2022\Community,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe,Programming
Vivado Design Suite,2021.1,C:\Xilinx\Vivado,C:\Xilinx\Vivado\2021.1\bin\unwrapped\win64.o\vvgl.exe,Programming
Engineering Equation Solver (EES),Academic 2021,C:\EES32,C:\EES32\ees.exe,MATH
Kaleidagraph,5,C:\Program Files\Synergy Software\KaleidaGraph 5.0,C:\Program Files\Synergy Software\KaleidaGraph 5.0\KaleidaGraph.exe,MATH
Minitab,18.1.0.0,C:\fail,C:\fail.exe,MATH
Decision Tools (RISK),8.1,C:\Program Files (x86)\Palisade\RISK8,C:\Program Files (x86)\Palisade\RISK8\Risk.exe,MATH
MathCAD Prime,8,C:\fail,C:\fail.exe,MATH
MATLAB,R2023B,C:\Program Files\MATLAB\R2023b,C:\Program Files\MATLAB\R2023b\bin\matlab.exe,MATH
Wolfram Player,13.2,C:\Program Files\Wolfram Research\Wolfram Player,C:\Program Files\Wolfram Research\Wolfram Player\13.2\WolframPlayer.exe,MATH
